"Dataset Name","Dataset Code","Country Name","Country Code","Commodity Name","Commodity Code","Unit Name","Unit Code","Metadata Attribute","Metadata Value","Frequency"
"Primary Commodity Price System (PCPS)","PCPS","","","","","","","Category","Main",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","","","Dataset","Primary Commodity Prices",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","","","Definition","Indices in terms of dollars or sdrs, indices of market prices for non-fuel commodities and petroleum, actual market prices for non-fuel commodities and petroleum, and average weekly prices for non-fuel commodities and petroleum.",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","","","Frequency","Annual,Monthly,Quarterly",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","","","Geographic Coverage","Benchmark prices which are representative of the global market. They are determined by the largest import markets of a given commodity.",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","","","Latest Update Date","02/06/2025",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","","","Methodology","<p>Prices are period averages in nominal U.S. dollars. </p><p>The current and the previous weights are provided in the comparison table on the website. The weights are calculated about every 5 years. The weights in the commodity basket reflect the structure of trade in 2014-2016. The choice of years reflects the desire of getting the most updated weights possible but still having sufficient data to improve accuracy. As part of the update, a thorough research into the basket of commodities was conducted to see whether the items included earlier are still representative in global commodities trade. The rule of thumb is that their share in total commodities trade has to be 1 percent or more of total commodities trade, in value terms. </p><p>Also, commodity descriptions, sources and weights are available as part of the dataset.</p><p>Price indices are based in 2016 (average of 2016 = 100). First individual commodity price indices are calculate in U.S. dollar and SDR terms, basing the price series in those currencies in 2016. Group indices are weighted averages of individual commodity price indices, with respective commodity weights derived from their relative trade values compared to the total world trade as reported in the UN Comtrade database.</p><p>Price indices are based in 2005 (average of 2005 = 100). First individual commodity price indices are calculate in U.S. dollar and SDR terms, basing the price series in those currencies in 2005. Group indices are weighted averages of individual commodity price indices, with respective commodity weights derived from their relative trade values compared to the total world trade as reported in the UN Comtrade database.</p>",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","","","Related Documents - URLs","<br><br><b>Indices of Primary Commodity Prices</b><li><a href=""""http://www.imf.org/external/np/res/commod/Table1a.pdf"""" target = """"_blank"""">By group, in terms of U.S. $</a></li><li><a href=""""http://www.imf.org/external/np/res/commod/Table1b.pdf"""" target = """"_blank"""">By group, in terms of SDRs</a></li><li><a href=""""http://www.imf.org/external/np/res/commod/Table2.pdf"""" target = """"_blank"""">By commodity, in terms of U.S. $</a></li><li><a href=""""http://www.imf.org/external/np/res/commod/Charts.pdf"""" target = """"_blank"""">Index charts</a></li><br><b>Market Prices for Non-Fuel and Fuel Commodities</b><li><a href=""""http://www.imf.org/external/np/res/commod/Table3.pdf"""" target = """"_blank"""">Annual, quarterly, and monthly prices</a></li><li><a href=""""http://www.imf.org/external/np/res/commod/Table4.pdf"""" target = """"_blank"""">Weekly prices</a></li>",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","","","Sort Order","20",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","","","Tag","Home Page",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","","","Temporal Coverage","The data are annual, quarterly and monthly and go back to 1992.",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","","","Timeliness","Monthly data are updated in the first full week of each month, typically by Wednesday.",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","","","Topics","Real Sector",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","","","Update Frequency","Monthly",""
"Primary Commodity Price System (PCPS)","PCPS","World","001","","","","","Country Code","001",""
"Primary Commodity Price System (PCPS)","PCPS","World","001","","","","","Country Name","World",""
"Primary Commodity Price System (PCPS)","PCPS","World","001","","","","","Country SDMX Code","W00",""
"Primary Commodity Price System (PCPS)","PCPS","World","001","","","","","Country SDMX Name","All Countries, excluding the IO",""
"Primary Commodity Price System (PCPS)","PCPS","","","Aluminum","PALUM","","","Commodity Alternate Publication Codes","",""
"Primary Commodity Price System (PCPS)","PCPS","","","Aluminum","PALUM","","","Commodity Code","PALUM",""
"Primary Commodity Price System (PCPS)","PCPS","","","Aluminum","PALUM","","","Commodity Concept","",""
"Primary Commodity Price System (PCPS)","PCPS","","","Aluminum","PALUM","","","Commodity CTS Code","",""
"Primary Commodity Price System (PCPS)","PCPS","","","Aluminum","PALUM","","","Commodity Definition","Aluminum, 99.5% minimum purity, LME spot price, CIF UK ports, US$ per metric ton",""
"Primary Commodity Price System (PCPS)","PCPS","","","Aluminum","PALUM","","","Commodity Full Name","Primary Commodity Prices, Aluminum",""
"Primary Commodity Price System (PCPS)","PCPS","","","Aluminum","PALUM","","","Commodity Name","Aluminum",""
"Primary Commodity Price System (PCPS)","PCPS","","","Aluminum","PALUM","","","Commodity SDMX Code","PALUM",""
"Primary Commodity Price System (PCPS)","PCPS","","","Aluminum","PALUM","","","Commodity SDMX Name","Primary Commodity Prices, Aluminum",""
"Primary Commodity Price System (PCPS)","PCPS","","","Aluminum","PALUM","","","Commodity Short Name","Aluminum",""
"Primary Commodity Price System (PCPS)","PCPS","","","Aluminum","PALUM","","","Commodity Source Code","PALUM",""
"Primary Commodity Price System (PCPS)","PCPS","","","Aluminum","PALUM","","","Commodity Topic","Real Sector",""
"Primary Commodity Price System (PCPS)","PCPS","","","Lithium","PLITH","","","Commodity Alternate Publication Codes","",""
"Primary Commodity Price System (PCPS)","PCPS","","","Lithium","PLITH","","","Commodity Code","PLITH",""
"Primary Commodity Price System (PCPS)","PCPS","","","Lithium","PLITH","","","Commodity Concept","",""
"Primary Commodity Price System (PCPS)","PCPS","","","Lithium","PLITH","","","Commodity CTS Code","",""
"Primary Commodity Price System (PCPS)","PCPS","","","Lithium","PLITH","","","Commodity Definition","Lithium, 99% pure, industrial grade, battery grade, USD/metric ton",""
