MSN,YYYYMM,Value,Column_Order,Description,Unit
GERCBUS,194913,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,195013,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,195113,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,195213,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,195313,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,195413,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,195513,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,195613,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,195713,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,195813,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,195913,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,196013,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,196113,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,196213,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,196313,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,196413,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,196513,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,196613,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,196713,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,196813,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,196913,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197013,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197113,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197213,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197301,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197302,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197303,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197304,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197305,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197306,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197307,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197308,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197309,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197310,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197311,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197312,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197313,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197401,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197402,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197403,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197404,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197405,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197406,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197407,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
